,Danceability,Energy,Loudness,Speechiness,Acousticness,Instrumentalness,Valence,Tempo,Duration_ms,Stream
71,0.255,0.393,-10.654,0.0278,0.0577,0.00361,0.118,76.426,229120.0,379349681.0
72,0.36,0.501,-9.129,0.0258,0.0638,9.32e-05,0.324,74.807,264067.0,382823305.0
73,0.419,0.383,-11.782,0.0256,0.0724,0.0176,0.35,87.568,257480.0,291096318.0
74,0.293,0.276,-11.357,0.0349,0.224,0.122,0.195,121.603,267187.0,146857863.0
75,0.531,0.61,-8.025,0.0387,0.772,0.756,0.199,152.958,318187.0,121688699.0
76,0.462,0.832,-6.085,0.0479,0.108,0.00416,0.807,165.653,248893.0,79367881.0
77,0.463,0.229,-12.592,0.0297,0.167,0.0997,0.135,73.543,290707.0,219867047.0
78,0.291,0.767,-6.913,0.0862,0.000401,0.012,0.359,175.702,234800.0,88945336.0
79,0.516,0.342,-9.785,0.0342,0.832,0.579,0.167,128.378,255387.0,86388469.0
80,0.574,0.913,-4.793,0.133,0.061,0.00158,0.423,115.728,208400.0,1143164505.0
81,0.502,0.89,-5.175,0.0364,0.000147,0.0117,0.259,133.52,292880.0,1088388556.0
82,0.31,0.7,-5.678,0.047,0.011,0.00965,0.763,188.386,255493.0,1182379398.0
83,0.532,0.767,-5.509,0.0574,0.00287,0.000513,0.755,127.361,210173.0,802076123.0
84,0.754,0.759,-5.218,0.302,0.153,0.000108,0.435,126.366,214667.0,526521070.0
85,0.389,0.873,-4.768,0.0475,0.00532,0.0055,0.303,106.767,312293.0,296521772.0
86,0.668,0.906,-4.881,0.17,0.214,0.00245,0.507,135.653,231933.0,269837425.0
87,0.457,0.904,-5.303,0.0747,0.000239,0.0879,0.48,141.038,317427.0,292026041.0
88,0.456,0.863,-3.551,0.0894,0.133,0.0538,0.532,135.962,301227.0,196347993.0
89,0.547,0.931,-2.356,0.0615,0.000998,0.0118,0.697,118.4,261507.0,144143014.0
90,0.744,0.766,-6.375,0.0265,0.0873,0.0,0.61,127.966,289133.0,1001227038.0
91,0.831,0.868,-5.282,0.0325,0.176,0.0,0.483,131.971,194438.0,162685755.0
92,0.834,0.699,-3.222,0.178,0.111,0.0,0.809,94.086,272533.0,752091441.0
93,0.659,0.628,-8.685,0.179,0.186,0.0,0.262,94.05,219427.0,331578264.0
94,0.965,0.485,-8.784,0.191,0.0206,0.0237,0.312,124.025,222523.0,453923193.0
95,0.649,0.931,-3.15,0.181,0.0093,0.0,0.744,153.645,213067.0,492130246.0
96,0.66,0.942,-2.273,0.185,0.00789,1.76e-05,0.543,126.017,158571.0,27908495.0
97,0.798,0.629,-6.857,0.0735,0.00474,2.29e-05,0.4,130.002,284373.0,363930118.0
98,0.732,0.716,-6.968,0.0561,0.0295,0.000758,0.666,105.093,214855.0,869795408.0
99,0.872,0.789,-6.047,0.132,0.203,2.39e-05,0.646,126.042,236190.0,18501860.0
100,0.932,0.457,-9.62,0.0541,0.0173,0.0436,0.884,117.002,294227.0,1302677366.0
101,0.608,0.756,-2.675,0.176,0.0784,0.0,0.55,176.086,245507.0,103974637.0
102,0.776,0.711,-9.03,0.0473,0.0242,0.000353,0.901,138.728,258400.0,826832314.0
103,0.853,0.981,-3.947,0.0751,0.247,0.468,0.595,118.193,257760.0,526030670.0
104,0.808,0.535,-12.521,0.0353,0.179,9.91e-05,0.848,114.031,220627.0,346137424.0
105,0.878,0.821,-9.875,0.089,0.126,0.0461,0.947,118.881,365467.0,389644450.0
106,0.859,0.905,-5.539,0.129,0.205,0.00837,0.731,89.946,284160.0,256361972.0
107,0.831,0.921,-2.383,0.0582,0.153,0.00224,0.795,108.002,239227.0,224254298.0
108,0.877,0.854,-4.523,0.147,0.0544,5.5e-05,0.54,114.472,298120.0,349629692.0
109,0.775,0.719,-6.212,0.0435,0.132,1.79e-06,0.712,117.513,246027.0,280500270.0
110,0.778,0.547,-7.273,0.0489,0.346,0.000302,0.441,95.002,242733.0,995490565.0
111,0.668,0.802,-4.005,0.0917,0.0273,0.0,0.769,113.796,225789.0,34361626.0
112,0.7,0.709,-5.006,0.0838,0.0048,0.0,0.624,122.019,202960.0,502735560.0
113,0.674,0.628,-7.079,0.03,0.00144,0.0,0.552,103.998,247907.0,476783121.0
114,0.534,0.87,-3.078,0.0425,0.000334,0.0,0.462,126.019,215160.0,471672024.0
115,0.491,0.588,-6.177,0.0506,0.0281,2.01e-06,0.193,113.608,269600.0,662431775.0
116,0.473,0.592,-6.859,0.138,0.0528,0.0,0.292,159.7,138573.0,346097538.0
117,0.636,0.888,-3.889,0.0945,0.00162,0.000216,0.25,122.032,237200.0,2790105.0
118,0.688,0.734,-4.569,0.0274,0.00462,0.0,0.46,140.004,208493.0,219363750.0
119,0.457,0.823,-4.76,0.311,0.00144,0.0,0.578,192.205,230733.0,170002964.0
120,0.637,0.678,-3.798,0.266,0.209,0.0,0.254,84.039,250760.0,908006704.0
121,0.908,0.669,-2.827,0.0738,0.00286,0.0,0.662,112.238,290320.0,1457351902.0
122,0.949,0.661,-4.244,0.0572,0.0302,0.0,0.76,104.504,284200.0,1232567233.0
123,0.802,0.755,-3.138,0.0564,0.0215,0.0,0.58,130.027,350320.0,466021760.0
124,0.548,0.847,-3.237,0.186,0.0622,0.0,0.1,171.447,297787.0,1548871694.0
125,0.78,0.768,-4.325,0.238,0.0371,2.34e-06,0.507,80.063,404107.0,799979337.0
126,0.749,0.925,-5.034,0.227,0.241,0.0,0.641,86.989,263373.0,1115478746.0
127,0.808,0.745,-5.26,0.342,0.145,0.0,0.829,165.995,210800.0,1072650382.0
128,0.668,0.824,-4.164,0.137,0.0017,3.05e-06,0.185,163.961,339547.0,357737050.0
129,0.855,0.954,-1.19,0.264,0.529,0.0,0.668,114.635,248133.0,789922926.0
130,0.647,0.822,-4.662,0.183,0.219,0.0,0.962,160.019,232720.0,1143833476.0
131,0.851,0.819,-5.173,0.212,0.337,0.000153,0.903,83.154,164041.0,42006396.0
132,0.893,0.745,-3.105,0.0571,0.0642,0.0,0.872,101.018,223413.0,981287133.0
133,0.877,0.56,-3.751,0.0596,0.00721,1.45e-06,0.154,119.971,216136.0,104603335.0
134,0.81,0.733,-6.338,0.0444,0.276,6.73e-06,0.9,125.975,229283.0,99934776.0
135,0.679,0.516,-6.371,0.0452,0.199,0.0,0.716,120.074,202008.0,198332490.0
136,0.859,0.563,-6.635,0.112,0.0541,0.0,0.412,119.934,258789.0,219355874.0
137,0.827,0.571,-7.949,0.366,0.0195,0.0,0.62,142.034,146419.0,99577335.0
138,0.89,0.46,-8.155,0.0359,0.432,0.0,0.677,112.555,176078.0,105629259.0
139,0.894,0.404,-5.913,0.13,0.453,1.57e-06,0.759,102.009,236507.0,114177468.0
140,0.351,0.296,-10.109,0.0333,0.934,0.0,0.12,115.284,200186.0,2110573779.0
141,0.912,0.774,-4.673,0.0455,0.121,0.0127,0.632,119.966,155589.0,203066841.0
142,0.52,0.761,-3.093,0.0853,0.256,4.96e-06,0.286,141.971,180823.0,1322057199.0
